id experiment reason pct
0 1 "<clinit>" 0.07058823529411765
1 1 "<init>" 0.3058823529411765
2 1 "array type" 0.011764705882352941
3 1 "blacklisted" 0.07058823529411765
4 1 "native method" 0.2235294117647059
5 1 "shared field read" 0.0
6 1 "static read" 0.047058823529411764
7 1 "transition or lock" 0.27058823529411763
8 10 "<clinit>" 0.07058823529411765
9 10 "<init>" 0.3058823529411765
10 10 "array type" 0.011764705882352941
11 10 "blacklisted" 0.07058823529411765
12 10 "native method" 0.2235294117647059
13 10 "shared field read" 0.0
14 10 "static read" 0.047058823529411764
15 10 "transition or lock" 0.27058823529411763
16 15 "<clinit>" 0.07058823529411765
17 15 "<init>" 0.3058823529411765
18 15 "array type" 0.011764705882352941
19 15 "blacklisted" 0.07058823529411765
20 15 "native method" 0.2235294117647059
21 15 "shared field read" 0.0
22 15 "static read" 0.047058823529411764
23 15 "transition or lock" 0.27058823529411763
24 20 "<clinit>" 0.07058823529411765
25 20 "<init>" 0.3058823529411765
26 20 "array type" 0.011764705882352941
27 20 "blacklisted" 0.07058823529411765
28 20 "native method" 0.2235294117647059
29 20 "shared field read" 0.0
30 20 "static read" 0.047058823529411764
31 20 "transition or lock" 0.27058823529411763
32 25 "<clinit>" 0.07058823529411765
33 25 "<init>" 0.3058823529411765
34 25 "array type" 0.011764705882352941
35 25 "blacklisted" 0.07058823529411765
36 25 "native method" 0.2235294117647059
37 25 "shared field read" 0.0
38 25 "static read" 0.047058823529411764
39 25 "transition or lock" 0.27058823529411763
40 30 "<clinit>" 0.07058823529411765
41 30 "<init>" 0.3058823529411765
42 30 "array type" 0.011764705882352941
43 30 "blacklisted" 0.07058823529411765
44 30 "native method" 0.2235294117647059
45 30 "shared field read" 0.0
46 30 "static read" 0.047058823529411764
47 30 "transition or lock" 0.27058823529411763
48 5 "<clinit>" 0.07058823529411765
49 5 "<init>" 0.3058823529411765
50 5 "array type" 0.011764705882352941
51 5 "blacklisted" 0.07058823529411765
52 5 "native method" 0.2235294117647059
53 5 "shared field read" 0.0
54 5 "static read" 0.047058823529411764
55 5 "transition or lock" 0.27058823529411763
