id type exper mean se
30 jpf-core pool3-orig 868.4 33.26447752546891
31 jpf-summary pool3-orig 1218.9 56.910179834594516
32 jpf-core pool6-orig 1081.6 48.93049844832062
33 jpf-summary pool6-orig 1268.5 55.592507797191175
34 jpf-core linkedlist-orig 1086.7 58.530934170934806
35 jpf-summary linkedlist-orig 1410.0 96.45302633219457
36 jpf-core pool4-orig 1272.8 24.392268538677595
37 jpf-summary pool4-orig 1451.4 68.64822586938185
40 jpf-core lang-fixed 2492.8 117.94730150748019
41 jpf-summary lang-fixed 2590.5 92.11491624092871
42 jpf-core pool2-orig 3014.2 178.67493661052382
43 jpf-summary pool2-orig 3913.7 214.8580913400909
44 jpf-core pool1-orig 3061.6 165.56329148950925
45 jpf-summary pool1-orig 3646.0 186.59553679062643
46 jpf-core producerconsumer-orig 4395.2 106.61015665289975
47 jpf-summary producerconsumer-orig 4570.4 108.04079052126794
38 jpf-core log4j3-orig 1474.0 65.04724845633588
39 jpf-summary log4j3-orig 1758.4 94.00897409401767
48 jpf-core log4j3-fixed 11298.4 153.51649826876763
49 jpf-summary log4j3-fixed 12301.4 283.6736954694827
