id type exper mean se
54 jpf-core pool1-fixed 259168.7 6405.171824143488
55 jpf-summary pool1-fixed 322284.8 6805.675614250516
56 jpf-core pool2-fixed 261422.8 6727.435833124085
57 jpf-summary pool2-fixed 324724.4 5004.984822019749
58 jpf-core pool3-fixed 271131.1 4855.432822357793
59 jpf-summary pool3-fixed 343094.4 3575.7840741970294
60 jpf-core pool6-fixed 966102.5 8713.07810538809
61 jpf-summary pool6-fixed 1075927.3 20351.416012808433
52 jpf-core pool5-orig 28818.2 255.78387056422318
53 jpf-summary pool5-orig 29633.9 455.4270328350865
50 jpf-core log4j1-fixed 22358.4 225.06006234726948
51 jpf-summary log4j1-fixed 24751.6 198.9910935453972
