id experiment reason pct
0 account "<clinit>" 0.03225806451612903
1 account "<init>" 0.3870967741935484
2 account "array type" 0.0
3 account "blacklisted" 0.03225806451612903
4 account "native method" 0.25806451612903225
5 account "shared field read" 0.0
6 account "shared field write" 0.0
7 account "static read" 0.03225806451612903
8 account "transition or lock" 0.25806451612903225
9 alarmclock "<clinit>" 0.0
10 alarmclock "<init>" 0.3684210526315789
11 alarmclock "array type" 0.0
12 alarmclock "blacklisted" 0.05263157894736842
13 alarmclock "native method" 0.18421052631578946
14 alarmclock "shared field read" 0.0
15 alarmclock "shared field write" 0.0
16 alarmclock "static read" 0.0
17 alarmclock "transition or lock" 0.39473684210526316
18 boundedBuffer "<clinit>" 0.0
19 boundedBuffer "<init>" 0.44
20 boundedBuffer "array type" 0.0
21 boundedBuffer "blacklisted" 0.08
22 boundedBuffer "native method" 0.2
23 boundedBuffer "shared field read" 0.0
24 boundedBuffer "shared field write" 0.0
25 boundedBuffer "static read" 0.0
26 boundedBuffer "transition or lock" 0.28
27 clean "<clinit>" 0.0
28 clean "<init>" 0.4
29 clean "array type" 0.0
30 clean "blacklisted" 0.04
31 clean "native method" 0.24
32 clean "shared field read" 0.04
33 clean "shared field write" 0.0
34 clean "static read" 0.0
35 clean "transition or lock" 0.28
36 deadlock "<clinit>" 0.0
37 deadlock "<init>" 0.4444444444444444
38 deadlock "array type" 0.0
39 deadlock "blacklisted" 0.05555555555555555
40 deadlock "native method" 0.2777777777777778
41 deadlock "shared field read" 0.0
42 deadlock "shared field write" 0.0
43 deadlock "static read" 0.1111111111111111
44 deadlock "transition or lock" 0.1111111111111111
45 diningPhilosophers "<clinit>" 0.0
46 diningPhilosophers "<init>" 0.4117647058823529
47 diningPhilosophers "array type" 0.0
48 diningPhilosophers "blacklisted" 0.058823529411764705
49 diningPhilosophers "native method" 0.35294117647058826
50 diningPhilosophers "shared field read" 0.0
51 diningPhilosophers "shared field write" 0.0
52 diningPhilosophers "static read" 0.0
53 diningPhilosophers "transition or lock" 0.17647058823529413
54 groovy "<clinit>" 0.0
55 groovy "<init>" 0.39473684210526316
56 groovy "array type" 0.0
57 groovy "blacklisted" 0.05263157894736842
58 groovy "native method" 0.13157894736842105
59 groovy "shared field read" 0.15789473684210525
60 groovy "shared field write" 0.0
61 groovy "static read" 0.0
62 groovy "transition or lock" 0.2631578947368421
63 lang "<clinit>" 0.0
64 lang "<init>" 0.4642857142857143
65 lang "array type" 0.0
66 lang "blacklisted" 0.03571428571428571
67 lang "native method" 0.32142857142857145
68 lang "shared field read" 0.0
69 lang "shared field write" 0.0
70 lang "static read" 0.0
71 lang "transition or lock" 0.17857142857142858
72 linkedlist "<clinit>" 0.0
73 linkedlist "<init>" 0.42105263157894735
74 linkedlist "array type" 0.0
75 linkedlist "blacklisted" 0.02631578947368421
76 linkedlist "native method" 0.21052631578947367
77 linkedlist "shared field read" 0.18421052631578946
78 linkedlist "shared field write" 0.0
79 linkedlist "static read" 0.0
80 linkedlist "transition or lock" 0.15789473684210525
81 log4j1 "<clinit>" 0.057692307692307696
82 log4j1 "<init>" 0.5384615384615384
83 log4j1 "array type" 0.0
84 log4j1 "blacklisted" 0.019230769230769232
85 log4j1 "native method" 0.15384615384615385
86 log4j1 "shared field read" 0.019230769230769232
87 log4j1 "shared field write" 0.0
88 log4j1 "static read" 0.028846153846153848
89 log4j1 "transition or lock" 0.18269230769230768
90 log4j2 "<clinit>" 0.0761904761904762
91 log4j2 "<init>" 0.41904761904761906
92 log4j2 "array type" 0.01904761904761905
93 log4j2 "blacklisted" 0.06666666666666667
94 log4j2 "native method" 0.21904761904761905
95 log4j2 "shared field read" 0.0
96 log4j2 "shared field write" 0.0
97 log4j2 "static read" 0.009523809523809525
98 log4j2 "transition or lock" 0.19047619047619047
99 log4j3 "<clinit>" 0.08695652173913043
100 log4j3 "<init>" 0.3858695652173913
101 log4j3 "array type" 0.04891304347826087
102 log4j3 "blacklisted" 0.07608695652173914
103 log4j3 "native method" 0.1956521739130435
104 log4j3 "shared field read" 0.0
105 log4j3 "shared field write" 0.0
106 log4j3 "static read" 0.03260869565217391
107 log4j3 "transition or lock" 0.17391304347826086
108 loseNotify "<clinit>" 0.041666666666666664
109 loseNotify "<init>" 0.375
110 loseNotify "array type" 0.0
