experiment  recorded   totalmethods  matches  callstosum recordedovertotal  matchedcalls
account 5 36  13  23  0.1388888889  0.5652173913
alarmclock  6 44  47  187 0.1363636364  0.2513368984
boundedBuffer 4 29  12  32  0.1379310345  0.375
clean 4 29  0 8 0.1379310345  0
deadlock  4 22  2 8 0.1818181818  0.25
diningPhilosophers  4 21  11  20  0.1904761905  0.55
groovy  9 47  49  98  0.1914893617  0.5
lang  4 32  2 8 0.125 0.25
linkedlist  6 44  98  310 0.1363636364  0.3161290323
log4j1  24  128 0 28  0.1875  0
log4j2  24  129 7 44  0.1860465116  0.1590909091
log4j3  33  217 1408  1606  0.1520737327  0.8767123288
loseNotify  4 28  0 8 0.1428571429  0
pool1 16  146 6479  19247 0.1095890411  0.3366238894
pool2 17  151 5043  32309 0.1125827815  0.1560865394
pool3 38  141 2725  9499  0.2695035461  0.2868723023
pool4 4 73  2 8 0.05479452055 0.25
pool5 34  129 83987 518166  0.2635658915  0.1620851233
pool6 41  164 573 3663  0.25  0.1564291564
producerconsumer  6 50  10  31  0.12  0.3225806452
sleepingBarber  4 26  8 16  0.1538461538  0.5
twoStage  4 34  2 12  0.1176470588  0.1666666667
groovy-fixed  10  53  168 363 0.1886792453  0.4628099174
lang-fixed  4 27  2 8 0.1481481481  0.25
log4j1-fixed  38  185 38609 135393  0.2054054054  0.285162453
log4j2-fixed  24  132 117 231 0.1818181818  0.5064935065
log4j3-fixed  33  217 11039 23157 0.1520737327  0.476702509
pool1-fixed 21  153 349390  4623897 0.137254902 0.07556180425
pool2-fixed 21  153 343458  4910803 0.137254902 0.0699392747
pool3-fixed 40  148 1720332 17069354  0.2702702703  0.1007848335
pool6-fixed 24  138 10982 22707422  0.1739130435  0.0004836304183
